dest	genome	rlen	fc	pe	scenario	libs	simulation
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/5libsPerGroup/simulation-12	mm39	100	1	TRUE	unbalanced	5	12
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/5libsPerGroup/simulation-13	mm39	100	1	TRUE	unbalanced	5	13
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/5libsPerGroup/simulation-14	mm39	100	1	TRUE	unbalanced	5	14
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/5libsPerGroup/simulation-15	mm39	100	1	TRUE	unbalanced	5	15
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/5libsPerGroup/simulation-16	mm39	100	1	TRUE	unbalanced	5	16
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/5libsPerGroup/simulation-17	mm39	100	1	TRUE	unbalanced	5	17
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/5libsPerGroup/simulation-18	mm39	100	1	TRUE	unbalanced	5	18
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/5libsPerGroup/simulation-19	mm39	100	1	TRUE	unbalanced	5	19
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/5libsPerGroup/simulation-20	mm39	100	1	TRUE	unbalanced	5	20
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/10libsPerGroup/simulation-1	mm39	100	1	TRUE	unbalanced	10	1
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/10libsPerGroup/simulation-2	mm39	100	1	TRUE	unbalanced	10	2
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/10libsPerGroup/simulation-3	mm39	100	1	TRUE	unbalanced	10	3
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/10libsPerGroup/simulation-4	mm39	100	1	TRUE	unbalanced	10	4
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/10libsPerGroup/simulation-5	mm39	100	1	TRUE	unbalanced	10	5
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/10libsPerGroup/simulation-6	mm39	100	1	TRUE	unbalanced	10	6
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/10libsPerGroup/simulation-7	mm39	100	1	TRUE	unbalanced	10	7
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/10libsPerGroup/simulation-8	mm39	100	1	TRUE	unbalanced	10	8
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/10libsPerGroup/simulation-9	mm39	100	1	TRUE	unbalanced	10	9
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/10libsPerGroup/simulation-10	mm39	100	1	TRUE	unbalanced	10	10
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/10libsPerGroup/simulation-11	mm39	100	1	TRUE	unbalanced	10	11
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/10libsPerGroup/simulation-12	mm39	100	1	TRUE	unbalanced	10	12
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/10libsPerGroup/simulation-13	mm39	100	1	TRUE	unbalanced	10	13
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/10libsPerGroup/simulation-14	mm39	100	1	TRUE	unbalanced	10	14
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/10libsPerGroup/simulation-15	mm39	100	1	TRUE	unbalanced	10	15
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/10libsPerGroup/simulation-16	mm39	100	1	TRUE	unbalanced	10	16
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/10libsPerGroup/simulation-17	mm39	100	1	TRUE	unbalanced	10	17
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/10libsPerGroup/simulation-18	mm39	100	1	TRUE	unbalanced	10	18
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/10libsPerGroup/simulation-19	mm39	100	1	TRUE	unbalanced	10	19
../../output/simulation-lenient/data/mm39/readlen-100/fc1/paired-end/unbalanced/10libsPerGroup/simulation-20	mm39	100	1	TRUE	unbalanced	10	20
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/3libsPerGroup/simulation-1	mm39	100	2	TRUE	unbalanced	3	1
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/3libsPerGroup/simulation-2	mm39	100	2	TRUE	unbalanced	3	2
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/3libsPerGroup/simulation-3	mm39	100	2	TRUE	unbalanced	3	3
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/3libsPerGroup/simulation-4	mm39	100	2	TRUE	unbalanced	3	4
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/3libsPerGroup/simulation-5	mm39	100	2	TRUE	unbalanced	3	5
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/3libsPerGroup/simulation-6	mm39	100	2	TRUE	unbalanced	3	6
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/3libsPerGroup/simulation-7	mm39	100	2	TRUE	unbalanced	3	7
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/3libsPerGroup/simulation-8	mm39	100	2	TRUE	unbalanced	3	8
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/3libsPerGroup/simulation-9	mm39	100	2	TRUE	unbalanced	3	9
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/3libsPerGroup/simulation-10	mm39	100	2	TRUE	unbalanced	3	10
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/3libsPerGroup/simulation-11	mm39	100	2	TRUE	unbalanced	3	11
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/3libsPerGroup/simulation-12	mm39	100	2	TRUE	unbalanced	3	12
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/3libsPerGroup/simulation-13	mm39	100	2	TRUE	unbalanced	3	13
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/3libsPerGroup/simulation-14	mm39	100	2	TRUE	unbalanced	3	14
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/3libsPerGroup/simulation-15	mm39	100	2	TRUE	unbalanced	3	15
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/3libsPerGroup/simulation-16	mm39	100	2	TRUE	unbalanced	3	16
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/3libsPerGroup/simulation-17	mm39	100	2	TRUE	unbalanced	3	17
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/3libsPerGroup/simulation-18	mm39	100	2	TRUE	unbalanced	3	18
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/3libsPerGroup/simulation-19	mm39	100	2	TRUE	unbalanced	3	19
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/3libsPerGroup/simulation-20	mm39	100	2	TRUE	unbalanced	3	20
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/5libsPerGroup/simulation-1	mm39	100	2	TRUE	unbalanced	5	1
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/5libsPerGroup/simulation-2	mm39	100	2	TRUE	unbalanced	5	2
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/5libsPerGroup/simulation-3	mm39	100	2	TRUE	unbalanced	5	3
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/5libsPerGroup/simulation-4	mm39	100	2	TRUE	unbalanced	5	4
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/5libsPerGroup/simulation-5	mm39	100	2	TRUE	unbalanced	5	5
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/5libsPerGroup/simulation-6	mm39	100	2	TRUE	unbalanced	5	6
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/5libsPerGroup/simulation-7	mm39	100	2	TRUE	unbalanced	5	7
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/5libsPerGroup/simulation-8	mm39	100	2	TRUE	unbalanced	5	8
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/5libsPerGroup/simulation-9	mm39	100	2	TRUE	unbalanced	5	9
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/5libsPerGroup/simulation-10	mm39	100	2	TRUE	unbalanced	5	10
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/5libsPerGroup/simulation-11	mm39	100	2	TRUE	unbalanced	5	11
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/5libsPerGroup/simulation-12	mm39	100	2	TRUE	unbalanced	5	12
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/5libsPerGroup/simulation-13	mm39	100	2	TRUE	unbalanced	5	13
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/5libsPerGroup/simulation-14	mm39	100	2	TRUE	unbalanced	5	14
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/5libsPerGroup/simulation-15	mm39	100	2	TRUE	unbalanced	5	15
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/5libsPerGroup/simulation-16	mm39	100	2	TRUE	unbalanced	5	16
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/5libsPerGroup/simulation-17	mm39	100	2	TRUE	unbalanced	5	17
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/5libsPerGroup/simulation-18	mm39	100	2	TRUE	unbalanced	5	18
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/5libsPerGroup/simulation-19	mm39	100	2	TRUE	unbalanced	5	19
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/5libsPerGroup/simulation-20	mm39	100	2	TRUE	unbalanced	5	20
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/10libsPerGroup/simulation-1	mm39	100	2	TRUE	unbalanced	10	1
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/10libsPerGroup/simulation-2	mm39	100	2	TRUE	unbalanced	10	2
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/10libsPerGroup/simulation-3	mm39	100	2	TRUE	unbalanced	10	3
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/10libsPerGroup/simulation-4	mm39	100	2	TRUE	unbalanced	10	4
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/10libsPerGroup/simulation-5	mm39	100	2	TRUE	unbalanced	10	5
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/10libsPerGroup/simulation-6	mm39	100	2	TRUE	unbalanced	10	6
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/10libsPerGroup/simulation-7	mm39	100	2	TRUE	unbalanced	10	7
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/10libsPerGroup/simulation-8	mm39	100	2	TRUE	unbalanced	10	8
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/10libsPerGroup/simulation-9	mm39	100	2	TRUE	unbalanced	10	9
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/10libsPerGroup/simulation-10	mm39	100	2	TRUE	unbalanced	10	10
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/10libsPerGroup/simulation-11	mm39	100	2	TRUE	unbalanced	10	11
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/10libsPerGroup/simulation-12	mm39	100	2	TRUE	unbalanced	10	12
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/10libsPerGroup/simulation-13	mm39	100	2	TRUE	unbalanced	10	13
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/10libsPerGroup/simulation-14	mm39	100	2	TRUE	unbalanced	10	14
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/10libsPerGroup/simulation-15	mm39	100	2	TRUE	unbalanced	10	15
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/10libsPerGroup/simulation-16	mm39	100	2	TRUE	unbalanced	10	16
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/10libsPerGroup/simulation-17	mm39	100	2	TRUE	unbalanced	10	17
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/10libsPerGroup/simulation-18	mm39	100	2	TRUE	unbalanced	10	18
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/10libsPerGroup/simulation-19	mm39	100	2	TRUE	unbalanced	10	19
../../output/simulation-lenient/data/mm39/readlen-100/fc2/paired-end/unbalanced/10libsPerGroup/simulation-20	mm39	100	2	TRUE	unbalanced	10	20
